industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"의료용 물질 및 의약품 제조업","C21","2020","3~5","YEARS3","남","1",5904.0
"의료용 물질 및 의약품 제조업","C21","2020","5~10","YEARS4","남","1",5321.0
"의료용 물질 및 의약품 제조업","C21","2020","10~","YEARS5","남","1",6146.0
"의료용 물질 및 의약품 제조업","C21","2020","~1","YEARS1","여","2",2331.0
"의료용 물질 및 의약품 제조업","C21","2020","1~3","YEARS2","여","2",5422.0
"의료용 물질 및 의약품 제조업","C21","2020","3~5","YEARS3","여","2",3286.0
"의료용 물질 및 의약품 제조업","C21","2020","5~10","YEARS4","여","2",3341.0
"의료용 물질 및 의약품 제조업","C21","2020","10~","YEARS5","여","2",3814.0
"고무제품 및 플라스틱제품 제조업","C22","2020","~1","YEARS1","남","1",23767.0
"고무제품 및 플라스틱제품 제조업","C22","2020","1~3","YEARS2","남","1",47786.0
"고무제품 및 플라스틱제품 제조업","C22","2020","3~5","YEARS3","남","1",27530.0
"고무제품 및 플라스틱제품 제조업","C22","2020","5~10","YEARS4","남","1",36118.0
"고무제품 및 플라스틱제품 제조업","C22","2020","10~","YEARS5","남","1",49899.0
"고무제품 및 플라스틱제품 제조업","C22","2020","~1","YEARS1","여","2",7594.0
"고무제품 및 플라스틱제품 제조업","C22","2020","1~3","YEARS2","여","2",16283.0
"고무제품 및 플라스틱제품 제조업","C22","2020","3~5","YEARS3","여","2",11704.0
"고무제품 및 플라스틱제품 제조업","C22","2020","5~10","YEARS4","여","2",14863.0
"고무제품 및 플라스틱제품 제조업","C22","2020","10~","YEARS5","여","2",9654.0
"비금속 광물제품 제조업","C23","2020","~1","YEARS1","남","1",9888.0
"비금속 광물제품 제조업","C23","2020","1~3","YEARS2","남","1",16278.0
"비금속 광물제품 제조업","C23","2020","3~5","YEARS3","남","1",9513.0
"비금속 광물제품 제조업","C23","2020","5~10","YEARS4","남","1",13232.0
"비금속 광물제품 제조업","C23","2020","10~","YEARS5","남","1",21169.0
"비금속 광물제품 제조업","C23","2020","~1","YEARS1","여","2",1686.0
"비금속 광물제품 제조업","C23","2020","1~3","YEARS2","여","2",2961.0
"비금속 광물제품 제조업","C23","2020","3~5","YEARS3","여","2",1934.0
"비금속 광물제품 제조업","C23","2020","5~10","YEARS4","여","2",2919.0
"비금속 광물제품 제조업","C23","2020","10~","YEARS5","여","2",3513.0
"1차 금속 제조업","C24","2020","~1","YEARS1","남","1",12110.0
"1차 금속 제조업","C24","2020","1~3","YEARS2","남","1",23077.0
"1차 금속 제조업","C24","2020","3~5","YEARS3","남","1",15773.0
"1차 금속 제조업","C24","2020","5~10","YEARS4","남","1",26044.0
"1차 금속 제조업","C24","2020","10~","YEARS5","남","1",57758.0
"1차 금속 제조업","C24","2020","~1","YEARS1","여","2",1475.0
"1차 금속 제조업","C24","2020","1~3","YEARS2","여","2",3669.0
"1차 금속 제조업","C24","2020","3~5","YEARS3","여","2",2858.0
"1차 금속 제조업","C24","2020","5~10","YEARS4","여","2",3676.0
"1차 금속 제조업","C24","2020","10~","YEARS5","여","2",3670.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","~1","YEARS1","남","1",36173.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","1~3","YEARS2","남","1",63603.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","3~5","YEARS3","남","1",41182.0
"금속가공제품 제조업;기계 및 가구 제외","C25","2020","5~10","YEARS4","남","1",49274.0
