year,geo_name,geo,industry_name,industry,EMP_DD_5,EMP_DD_6
"2016","전국","01000KR","소매업; 자동차 제외","G47",11008.0,3.1
"2016","전국","01000KR","운수업","H",28046.0,4.7
"2016","전국","01000KR","육상운송 및 파이프라인 운송업","H49",23689.0,6.5
"2016","전국","01000KR","수상 운송업","H50",258.0,1.7
"2016","전국","01000KR","항공 운송업","H51",558.0,2.2
"2016","전국","01000KR","창고 및 운송관련 서비스업","H52",3540.0,1.8
"2016","전국","01000KR","숙박 및 음식점업","I",18055.0,4.8
"2016","전국","01000KR","숙박업","I55",2091.0,3.0
"2016","전국","01000KR","음식점 및 주점업","I56",15965.0,5.2
"2016","전국","01000KR","출판, 영상, 방송통신 및 정보서비스업","J",12205.0,2.8
"2016","전국","01000KR","출판업","J58",7296.0,3.5
"2016","전국","01000KR","영상·오디오 기록물 제작 및 배급업","J59",749.0,2.2
"2016","전국","01000KR","방송업","J60",204.0,0.8
"2016","전국","01000KR","통신업","J61",297.0,0.7
"2016","전국","01000KR","컴퓨터 프로그래밍, 시스템 통합 및 관리업","J62",3116.0,3.2
"2016","전국","01000KR","정보서비스업","J63",542.0,1.5
"2016","전국","01000KR","금융 및 보험업","K",3359.0,0.7
"2016","전국","01000KR","금융업","K64",1734.0,0.7
"2016","전국","01000KR","보험 및 연금업","K65",714.0,0.7
"2016","전국","01000KR","금융 및 보험 관련 서비스업","K66",911.0,0.9
"2016","전국","01000KR","부동산업 및 임대업","L",3616.0,1.4
"2016","전국","01000KR","부동산업","L68",2659.0,1.1
"2016","전국","01000KR","임대업(부동산 제외)","L69",957.0,4.6
"2016","전국","01000KR","전문, 과학 및 기술 서비스업","M",14746.0,1.9
"2016","전국","01000KR","연구개발업","M70",3445.0,1.8
"2016","전국","01000KR","전문서비스업","M71",6014.0,1.9
"2016","전국","01000KR","건축기술, 엔지니어링 및 기타 과학기술 서비스업","M72",4385.0,1.9
"2016","전국","01000KR","기타 전문, 과학 및 기술 서비스업","M73",902.0,3.4
"2016","전국","01000KR","사업시설관리 및 사업지원 서비스업","N",17130.0,2.1
"2016","전국","01000KR","사업시설 관리 및 조경 서비스업","N74",2792.0,1.4
"2016","전국","01000KR","사업지원 서비스업","N75",14338.0,2.3
"2016","전국","01000KR","교육 서비스업","P",11410.0,1.5
"2016","전국","01000KR","교육 서비스업","P85",11410.0,1.5
"2016","전국","01000KR","보건업 및 사회복지 서비스업","Q",25793.0,2.4
"2016","전국","01000KR","보건업","Q86",16539.0,2.6
"2016","전국","01000KR","사회복지 서비스업","Q87",9254.0,2.1
"2016","전국","01000KR","예술, 스포츠 및 여가관련 서비스업","R",2547.0,1.7
"2016","전국","01000KR","창작, 예술 및 여가관련 서비스업","R90",688.0,2.5
"2016","전국","01000KR","스포츠 및 오락관련 서비스업","R91",1859.0,1.6
"2016","전국","01000KR","협회 및 단체, 수리  및 기타 개인 서비스업","S",7805.0,2.4
"2016","전국","01000KR","협회 및 단체","S94",965.0,1.1
