,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,위도,경도
119,한국전력,위시티 일산자이1단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84,37.68437051,126.8109415
120,한국전력,위시티 일산자이1단지 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84,37.68437051,126.8109415
121,한국전력,위시티 일산자이1단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84,37.68437051,126.8109415
122,한국전력,위시티 일산자이1단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84,37.68437051,126.8109415
123,한국전력,위시티 일산자이1단지 아파트,5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84,37.68437051,126.8109415
124,한국전력,위시티 일산자이1단지 아파트(추가),1,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487,37.68331598,126.8126167
125,한국전력,위시티 일산자이1단지 아파트(추가),2,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487,37.68331598,126.8126167
126,한국전력,위시티 일산자이1단지 아파트(추가),3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487,37.68331598,126.8126167
127,한국전력,위시티 일산자이1단지 아파트(추가),4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487,37.68331598,126.8126167
128,한국전력,위시티 일산자이1단지 아파트(추가),5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487,37.68331598,126.8126167
129,한국전력,위시티블루밍5단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 위시티1로 7,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티1로 7,37.67646738,126.8108687
