,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
473,차지비,부곡동대동다숲아파트,4,AC완속,부산광역시,금정구,"부산광역시 금정구 부곡로 32-12 (부곡동, 대동다숲아파트)(788 (대동다숲아파트))",제한없음,35.21886438,129.0892214
474,차지비,부곡동대동다숲아파트,5,AC완속,부산광역시,금정구,"부산광역시 금정구 부곡로 32-12 (부곡동, 대동다숲아파트)(788 (대동다숲아파트))",제한없음,35.21886438,129.0892214
475,차지비,부산 세동한신아파트103동,1,AC완속,부산광역시,부산진구,"부산광역시 부산진구 새싹로 183 (연지동, 세동한신아파트) 101동~105동103동지하 가63기둥",제한없음,35.17178406,129.0489367
476,차지비,부산 세동한신아파트105동,1,AC완속,부산광역시,부산진구,"부산광역시 부산진구 새싹로 183 (연지동, 세동한신아파트) 101동~105동105동 다27기둥",제한없음,35.17178406,129.0489367
477,차지비,부산 센텀피오레백삼동,1,AC완속,부산광역시,해운대구,"부산광역시 해운대구 수영강변대로 382 (재송동, 센텀피오레1차아파트)103동 지하주차장",제한없음,35.19319472,129.1155554
478,차지비,부산 센텀피오레백삼동,2,AC완속,부산광역시,해운대구,"부산광역시 해운대구 수영강변대로 382 (재송동, 센텀피오레1차아파트)103동 지하주차장",제한없음,35.19319472,129.1155554
479,차지비,부산 센텀피오레백삼동,3,AC완속,부산광역시,해운대구,"부산광역시 해운대구 수영강변대로 382 (재송동, 센텀피오레1차아파트)103동 지하주차장",제한없음,35.19319472,129.1155554
480,차지비,부산 한국지엠엄궁바로서비스,1,AC완속,부산광역시,사상구,부산광역시 사상구 엄궁로 11 (엄궁동)옥외주차장,제한없음,35.12463812,128.9674605
481,차지비,부산 화명코오롱하늘채이백사동,1,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동204동 지하1층",제한없음,35.23156597,129.0123187
482,차지비,부산 화명코오롱하늘채이백사동,2,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동204동 지하1층",제한없음,35.23156597,129.0123187
483,차지비,부산 화명코오롱하늘채이백십동,1,AC완속,부산광역시,북구,"부산광역시 북구 화명신도시로 100 (화명동, 코오롱하늘채2차아파트) 부상가동210동 지하1층주차장",제한없음,35.23156597,129.0123187
